Anyone can do that.	任何人都可以做到。
I'd like some more bread, please.	我想再要些麵包，謝謝。
It's a secret.	它是個祕密。
I am hers and she is mine.	我是她的，而她是我的。
Tom wanted to see me.	湯姆想見我。
Someone pushed me inside.	有人推我到裡面。
My brother will often sit up all night.	我弟弟會經常徹夜不睡。
Can't you do something to help me?	你不能做些事來幫助我嗎？
What I'm about to say is strictly between you and me.	我要告訴你的只能你我知道。
This job pays pretty well.	這工作報酬很高。
She got a new CD player yesterday.	她昨天得到了一個新的CD播放機。
Mary wants to become a teacher.	瑪麗想成為一名教師。
You don't need to carry lunch with you.	你不需要隨身帶著午餐。
I always have to wear a tie because of my job.	因為這份工作的關係，我總是要打領帶。
You've been had.	你們被騙了。
This is secret between you and me.	這是我們之間的祕密。
He has been to Hawaii several times.	他去過夏威夷幾次。
Let me help you with your work.	讓我幫你做你的工作。
What's your schedule for tomorrow?	你明天的行程安排是什麼？
She is qualified as a nurse.	她是個合格的護士。
He turned down my offer.	他拒絕了我的提議。
She declared that she was not guilty.	她聲稱自己沒罪。
Where are your things?	你的東西在哪裡？
He saw a dog near the door.	他在門附近看到了一隻狗。
Mother was busy getting ready for dinner.	母親正忙著準備晚餐。
How come Mary is going on a picnic with him?	爲什麼瑪麗和他去野餐？
I'll stay home.	我會待在家裡。
How long have you been in Kobe?	你在神戶多久了？
Let's go!	我們走吧!
They don't always obey their parents.	他們並不總是服從他們的父母。
You had better not start until they arrive.	你最好不要在他們來之前開始。
I like both science and math.	科學和數學我都喜歡。
I was born on April 3, 1950.	我出生於1950年4月3日。
I've always wanted to meet you.	我一直想見你。
This is not important.	這不重要。
He asked me to speak more slowly.	他要求我講慢一點。
Frankly speaking, he's wrong.	坦率地說，他錯了。
Can you help me wash these dishes?	你能幫我洗這些碗盤嗎？
Sometimes I have to read boring novels.	有時候，我不得不讀一些無聊的小說。
Stock prices plunged to a record low.	股票價格跌至歷史新低。
I really don't sing.	我真的不會唱。
All you have to do is to wait.	所有您要做的，就是等待。
You must pay attention to his advice.	你一定要注意他的建議。
He made me go against my will.	他讓我違背了我的意願。
I run every day.	我每天跑步。
Who do you think we are?	你認爲我們是誰？
He has a good command of English.	他有很好的英語能力。
I think this machine is in need of repair.	我認爲這機器需要修理。
Collect your thoughts before you begin your work.	工作之前先收好思緒。
I'm counting on you.	我就指望你了。
He sang some old songs.	他唱了些老歌。
Would you please wait for a few minutes?	能不能請你等幾分鐘？
Could you shut the door?	你能把門關上嗎?
I forgot to give him the message.	我忘了告訴他這個消息。
My room faces the garden.	我的房間面向花園。
She stayed in that area for a short while.	她在那地方待了片刻。
Despite his riches, he's not contented.	儘管他很富有，他還是不滿足。
Where was he born and raised?	他在哪裡出生長大？
I believe you.	我相信你。
You can do whatever you want to.	你可以做任何你想做的事。
The girl made an awkward bow.	這個女孩做了一把很難使用的弓。
They gave us very little trouble.	他們幾乎不給我們添麻煩。
You can come at any time.	你隨時可以來。
How much time do you spend on Facebook?	你花多少時間在Facebook上？
Please enjoy yourself at the dance.	請盡情地跳舞。
I am very interested in these stories.	我對這些故事很感興趣。
I got up early.	我起牀早。
He gave us the signal to begin.	他給了我們開始的信號。
The air conditioner doesn't work.	空調故障了。
I'll never do this again.	我永遠不會再這樣做。
Something may have happened to him.	他可能發生了什麼事情。
The man you saw yesterday is my uncle.	你昨天看到的那個男人是我叔叔。
You can count on it.	你可以依靠它。
Will you have time to have lunch with me?	你有時間跟我吃午飯嗎？
She asked him for help.	她向他求助。
He isn't an American.	他不是美國人。
The day after tomorrow is Tom's birthday.	後天是湯姆的生日。
That wasn't nice.	那不好。
What is the fare from Osaka to Akita?	從大阪到秋田的車費是多少？
We're in a hurry.	我們很急。
Tom is in the hospital.	Tom在醫院。
You should stay at home today.	你今天應該待在家裡。
Don't look a gift horse in the mouth.	獲人贈馬，休看馬口。
I had a good time this evening.	今天晚上我玩得很開心。
There was a big fire last night.	昨晚有一場大火。
It's improved.	它有改善了。
She must have done it yesterday.	她昨天一定已經做過了。
I helped my father with the work.	我幫我父親做這個工作。
He is old enough to understand it.	他年紀夠大可以瞭解它。
I admire you for your courage.	我佩服你的勇氣。
My hobby is collecting old toys.	我的嗜好是收集舊玩具。
I'm a member of the tennis club.	我是網球俱樂部的會員。
Tom encouraged his son to study French.	湯姆鼓勵他兒子學法語。
I'll try to find them for you.	我會努力幫你找到他們。
Happy is the man who is contented.	知足常樂。
Tom will paint the fence tomorrow.	Tom明天將漆柵欄。
Those tulips are beautiful.	那些鬱金香很美麗。
I can only speak for myself.	我只能代表我自己講話。
I won't be home next Sunday.	我下週日不在家。
She is an obstinate girl.	她是個倔強的女孩。
I saw a group of foreigners on my way to school this morning.	今天早上在去學校的路上，我看到了一羣外國人。
Tom is in the shower.	Tom在洗澡。
She's still dependent on her parents.	她是啃老族。
The incident was etched in his memory.	這件事他銘記於心。
I know what you mean.	我知道你的意思。
The train has arrived.	這班火車已經到了。
Tell me again where you live.	再跟我說一次，你住哪？
It's freezing.	天氣好冷。
My vacation went by quickly.	我的假期一下就過完了。
He is the chief of my department.	他是我部門的主管。
I'm very happy to see you.	我很高興見到你。
I got him to polish my shoes.	我要他擦亮我的皮鞋。
She went upstairs to her bedroom.	她上樓到她的臥室。
The sky today is the bluest that I've ever seen it.	今天的天空是我看過最藍的天空。
Didn't you see the man?	你沒看到那個男人嗎？
Tom was fired.	湯姆被解僱了。
He wants to pay off his loan.	他想還清貸款。
You are very early this morning.	你今天早上非常早。
Without the slightest hesitation, he sold his own car.	他毫不猶豫地把自己的車賣了。
Will you take part in the ceremony?	你會參加這個儀式嗎?
What time are you going on duty?	你幾點值班?
The dog barked at the mailman.	狗對著郵差叫。
No one will see us.	沒有人會看到我們。
Reading books is interesting.	看書很有意思。
If you want a pencil, I'll lend you one.	如果你需要鉛筆，我借你一支。
They were all dressed in uniforms.	他們全部穿制服了。
Tom told me that he'd like to become a doctor.	湯姆告訴我他想當醫生。
Help yourself to whatever you like.	隨你喜歡隨便吃。
If it's at all possible, I'd like you to take part in the next meeting.	如果可能的話, 我希望你參加下一次的會議。
She took the book back to the library.	她把書帶回了圖書館。
Tom wants to talk.	湯姆想說話。
What a good idea!	多好的主意啊！
She recovered from her long illness.	她大病初癒。
He doesn't look his age.	他的長相與年齡不符。
Tom worked hard to get the work done on time.	湯姆努力工作按時完成工作。
It is no use arguing about it.	爭論是它是沒有用的。
I'm not interested.	我不感興趣。
The project was a great success.	該計劃是一個大成功。
You should practice playing the violin every day.	你應該每天練習拉小提琴。
What did he ask you?	他問你什麼？
It was sensible of you to follow her advice.	你聽從她的忠告是明智的。
I want to eat some cake first.	我想先吃點蛋糕。
My dog follows me wherever I go.	無論我去哪裡，我的狗都跟著我。
I have a new red car.	我有一輛新的紅色汽車。
Will six o'clock suit you?	六點您行嗎？
When I arrived, it was raining.	當我到達時，天正下著雨。
I visited my grandmother's house.	我拜訪了我祖母的房子。
Mind your own business!	管好你自己的事吧。
He threatened to make it public.	他威脅要公開。
I'll always love you, no matter what happens.	不論發生了什麼事，我會永遠愛你。
I held my breath and waited.	我屏住了呼吸等待着。
I want more.	我想要更多。
I love this song.	我愛這首歌。
Slight inattention can cause a great disaster.	失之毫釐，謬之千里。
In this kind of weather, it's best to stay home and not go outside.	這種天氣下最好待在家裏不要外出。
I was the happiest man on earth.	我曾是世界上最幸福的男人。
There's a back entrance.	有後門。
We don't like our neighbors, and they don't like us, either.	我們不喜歡我們的鄰居，而他們也不喜歡我們。
Ten prisoners broke out of jail.	十名囚犯逃獄了。
Unfortunately, there was no one around.	很不幸，沒有人在身邊。
My uncle gave me the watch.	我叔叔給了我這支錶。
I agree with your opinion.	我同意您的意見。
Tom couldn't control himself.	湯姆不能自已。
I agree with you absolutely.	我完全贊同你。
It's not that far.	不是那麼遠。
I have some good news for you.	我有好消息要告訴你。
That should make you happy.	那該讓你高興。
Where should I put my laundry?	我應該把我要洗的衣服放在哪裡?
Would you like some more beer?	你想再喝些啤酒嗎？
Some people criticized our decision.	一些人批評了我們的決定。
Tom never did what we asked him to do.	我們叫湯姆做什麼，他從來不做。
Having met the girl before, I recognized her at once.	因爲曾遇見過那個女孩，我馬上就認出來了。
It is going to rain very soon.	很快就要下雨了。
I prefer to travel by air.	我寧願搭飛機旅行。
He pretended to be my friend.	他假裝是我的朋友。
I've run out of money.	我錢已經用完了。
She put on her hat.	她戴上了她的帽子。
I'm taller than you.	我比你高。
He's a good person.	他是個好人。
He had barely enough to eat.	他僅有夠餬口的吃的。
By the way, my English is absolutely hopeless.	順道一提，我的英語是絕對沒有希望了。
I love my life.	我愛我的生命。
Let me take your blood pressure.	讓我量量你的血壓。
Strange to say, he didn't know the news.	說來奇怪，他不知道這個消息。
She has seen better days.	她看到了更好的明天。
Hurry. Please lend me a hand.	快點。請幫幫我。
Tom was sick in bed last Sunday.	湯姆上週日臥病在牀。
I don't think you ought to.	我認為你不應該。
He and I walked together.	我和他一起走。
She is very pretty, isn't she?	她很漂亮，不是嗎？
I'd like a table by the window.	我要一張靠窗的桌子。
Send me a letter when you arrive.	當你到達時寄封信給我。
They all looked for the lost child.	他們都在尋找這個走失的孩子。
I'd like you to go there.	我希望你去那裡。
Tom is quite sarcastic.	湯姆真會挖苦人。
Nobody knows why.	沒人知道為什麼。
I don't believe you. You're always telling lies.	我不相信你。你總是說謊。
He'll be glad to see you.	他會很高興見到你。
For the time being, my sister is an assistant in a supermarket.	目前，我妹妹在一家超市當收銀員。
If you bite me, I'll bite back.	如果你咬我，我就咬回來。
He has not written to us since last February.	他從去年二月開始就沒寫信給我們。
Let's find something to sit on.	讓我們找些可以坐在上面的東西。
I'm sick.	我病了。
When did your father come home?	你爸爸什麼時候回家？
I am interested in English.	我對英語感興趣。
You or I will be chosen.	你或者我會被選中。
My father didn't eat much fruit.	我父親沒有吃很多的水果。
The boat can still be seen.	船還能看見。
I wish you had been there.	但願你去過那裡。
You are sharp.	你很聰明。
The news made her sad.	這個消息讓她很傷心。
Does Tom need to stay home today?	湯姆今天需要留在家裡嗎？
Hard work and dedication will bring you success.	努力工作和敬業精神使你成功。
She greeted him waving her hand.	她揮著手向他打招呼。
He got accustomed to the new way of living.	他適應了新的生活方式。
Could you please drive me home?	你可以載我回家嗎?
Please wait till he comes back.	請等到他回來。
Let's start with Lesson Ten.	我們從第十課開始吧。
My wife's part-time job brings in a little extra money.	我太太兼職的工作賺進了一些額外的錢。
Don't you have any feelings for me at all?	你對我完全沒有感覺嗎？
I have already changed my clothes.	我已經換了我的衣服。
I wish it would stop raining.	我希望雨會停。
How long will you be in Japan?	你會在日本多久?
It is ten o'clock by my watch.	我的手錶是十點鐘了。
I am blind in the right eye.	我的右眼瞎了。
Tom died.	湯姆去世了。
The novel ends with the heroine's death.	小說以女主角的死告終。
The cat was scared by an unfamiliar noise.	貓被陌生的噪音驚嚇了。
Sensing danger, he ran away.	他感覺到危險就逃跑了。
You should return home before it gets dark.	你應該在天黑之前回家。
I broke my arm.	我的手臂斷了。
It might be a wedding.	這可能是一場婚禮。
My stomach's full.	我的胃是脹滿的。
I've got to try to find Tom.	我試圖找到Tom。
People can't live forever.	人無法長生不死。
He asked me where my uncle lived.	他問我我的叔叔住在哪裡。
Did you remember that you were supposed to buy candles?	你記得自己該買蠟燭嗎？
I'm afraid to go alone.	我害怕一個人去。
Are you sure you want to do this by yourself?	你確定要自己做這個嗎？
I paid him the money.	我付了他錢。
He hid his friend from the police.	他把他的朋友藏了起來不讓警察知道。
He set a precedent.	他開了先河。
I think it's better for us to adopt his plan.	我認爲採用他的計劃對我們比較好。
Do you have anything to eat?	你有東西吃嗎？
He stressed the convenient aspects of city life.	他強調都市生活的便利方面。
What's the point in doing that?	幹嘛那麼麻煩?
Grab that.	抓住那個。
He likes to listen to the radio.	他喜歡聽廣播。
Whose is it?	這是誰的？
Nobody knows when the earthquake will occur.	沒有人知道地震何時會來。
As soon as she heard the bell ring, she answered the telephone.	她一聽到鈴響，就接了電話。
Will you go on foot or by bus?	你要用走的還是搭公車？
I'll go to the library with you tomorrow.	我明天要跟你去圖書館。
I expect a lot from him.	我對他期望很高。
He refuses to believe us.	他拒絕相信我們。
The girl is small for her age.	就她的年齡來說，這個女孩算是矮小的。
You should have a doctor take a look at it.	你應該讓個醫生看看。
Tom is on the bus to the city.	湯姆搭公車去市區。
Leave me.	讓我一個人呆會兒。
I did nothing out of the ordinary.	我沒做什麼與眾不同的事。
The picture is nice.	這畫不錯。
Health is better than wealth.	健康勝過財富。
I'm leaving for Chicago next week.	我下週將離開去芝加哥。
I studied English, French and Chinese.	我從前學習英文、德文和中文。
You didn't need to bring your umbrella.	你不必帶你的傘。
Let me see.	讓我想一想。
You reap what you sow.	種什麼因得什麼果。
I'm looking for my contact lens.	我在找我的隱形眼鏡。
Flying kites can be dangerous.	放風箏可以是危險的。
She filled the glass with wine.	她在玻璃杯裡裝滿了酒。
I didn't think you were so old.	我不相信你有那麼老。
You should eat more vegetables.	你應該多吃蔬菜。
He shot an arrow at the deer.	他射了鹿一箭。
I'm very happy to hear about the party.	我聽到聚會的事很高興。
Not all Germans like to drink beer.	不是所有的德國人都喜歡喝啤酒。
I had a good dream last night.	昨晚，我做了個好夢。
This work must be finished by Monday.	這項工作必須在週一​​前完成。
Anything new?	有什麼新鮮事嗎？
He appears to be strong and healthy.	他看起來健康強壯。
I could hardly keep from laughing.	我忍不住要大笑。
You have only to ask for it.	你只要問就好了。
The old man died from hunger.	這位老人死於飢餓。
I am tired of reading.	我厭倦了閱讀。
My father caught three fish yesterday.	昨天我爸爸抓到了3條魚。
Who was the letter written to?	信是寫給誰的？
I don't have time for reading.	我沒時間閱讀。
She's fond of taking pictures.	她喜歡拍照片。
Nearly all Japanese have dark hair.	幾乎所有的日本人頭髮都是黑色的。
Stay off the grass.	不要走在草地上。
The sun is larger than the moon.	太陽比月亮大。
I tied Tom and Mary's shoes together.	我把湯姆和瑪麗的鞋系在一起。
How long have you two been together?	你們兩個在一起多久了？
I met him just as he was coming out of school.	正當他從學校回來的時候，我遇見了他。
It makes no difference to me whether he comes or not.	他來不來對我來說沒區別。
I know that he went to London.	我知道他去了倫敦。
We have to do a great deal of reading.	我們要讀很多書。
She's my sister.	她是我的姊妹。
Who is going to speak tonight?	今晚誰發言？
For what purpose?	為了什麼目的？
Let's not watch TV.	我們不要看電視吧。
I couldn't remember their names.	我不記得他們的名字了。
Do you plan to go overseas?	你打算出國嗎？
I was asked to wait here.	我被要求在這裏等。
I like winter better than summer.	我喜歡冬天勝過夏天。
I'm sure Tom wanted to come along.	我確定湯姆想來。
I bought a dozen pencils today.	我今天買了一打鉛筆。
Tomorrow is my birthday.	明天是我生日。
I'd like for you to go.	我希望你去。
He tries.	他來試試。
I'm cold.	我冷。
They made him sign the contract.	他們讓他簽約了。
Does he know that you love him?	他知道你愛他嗎?
At night, she gazed at the moon.	她在夜晚望著月亮。
What's the fare to Liverpool?	到利物浦的票價多少錢？
I got your fax the other day.	我前幾天收到了你的傳真。
She is ashamed of what she's done.	她爲自己所做的事感到羞恥。
You used to smoke, didn't you?	你以前吸煙，不是嗎？
You are very brave.	您非常勇敢。
She went on working.	她繼續工作。
If he's fluent in English, I'll hire him.	如果他說得一口流利的英文，我就請他為我工作。
Women eat lighter meals when they're eating with a guy.	當女性跟一個男人吃飯時，女性會吃得比較少。
This shirt costs ten dollars.	這襯衫要十元。
No matter what happens, I am prepared.	不管發生什麼事，我都準備好了。
Did you bring a hair dryer?	你有帶吹風機嗎？
Would you please tell me the way?	請你告訴我路怎麼走好嗎？
She kept the secret to herself.	她守著這個祕密。
I can't understand why you are so critical of him.	我不明白爲什麼你這麼批評他。
Tom canceled his hotel reservation.	湯姆取消了他的酒店預訂。
Do you remember what she said?	你記得她說了什麼嗎？
Is it really that hard to speak French?	說法語真有那麼難嗎？
The temperature has suddenly dropped.	氣溫突然下降了。
She is busy preparing supper now.	她現在正忙著準備晚飯。
The funeral was yesterday.	葬禮是昨天。
Could you turn off the lights?	你可以關燈嗎？
The teacher cannot have said such a thing.	老師不可能說過這樣的事。
He helped me do my homework.	他幫我做我的功課。
Do you have something to say?	你有什麼事要說嗎？
It was not very cold yesterday.	昨天不是很冷。
There is one apple on the desk.	書桌上有一個蘋果。
The exhibition is now open.	展覽現在已經開放。
He likes taking a walk by himself.	他喜歡獨自散步。
She went to Italy to study music.	她去了意大利學習音樂。
Now's the time to decide whether you really want to get married or not.	現在是你決定是不是真要結婚的時候。
Tom worries a lot about money.	湯姆很擔心錢的問題。
You ought to get to work on time.	你應該準時上班。
You are to come with me.	你將伴我同行。
His father passed away last year.	他的父親去年過世了。
You need to get ready.	你需要做好準備。
I promise.	我向你保證。
I can't bend my right arm.	我無法彎曲我的右手臂。
My house is close to a bus stop.	我的房子靠近一個公車站牌。
He whistled as he walked.	他邊走邊吹口哨。
She beckoned me to come in.	她招呼我進來。
I can solve the problem by myself.	我可以自己解決這個問題。
Let me see it.	讓我看看。
The patient is steadily recovering.	該病人正逐步康復。
I have lived here since I was a boy.	我還是一個小男孩的時候就住在這裏。
I agree with your opinion about taxes.	我同意你對於稅的意見。
He visited many countries in Asia.	他訪問過許多亞洲國家。
She went into her room to change her dress.	她進了她的房間換裙子。
She looks a lot like her mother.	她非常像她的母親。
I heard you.	我聽你的。
I heard her speak English fluently.	我聽她說英語說得流利。
Your driver's license has expired.	你的駕駛執照已經過期了。
I bought a good camera.	我買了一臺不錯的照相機。
I asked Tom a few questions.	我問了湯姆幾個問題。
Tom is able to come to our party tomorrow.	湯姆明天能來我們的聚會。
Tom is single and has a three-year-old daughter.	Tom單身，他有個三歲的女兒。
Is it safe to skate on this lake?	在這個湖上滑冰安全嗎？
Do you have one?	你有嗎？
If you need anything, let me know.	如果你需要任何東西，讓我知道。
You and I are good friends.	你和我是好朋友。
Keep on smiling.	保持微笑。
What do you think of that?	你認為如何?
Are you referring to me?	你在說我嗎？
There's no need to apologize.	沒有必要道歉。
What do you think of those Japanese writers?	你覺得那些日本作家怎麼樣？
Do you think I'm made of money?	你以爲我造錢啊？
You're bound to fail.	你註定失敗。
Do you study Mandarin there?	你在那裡學中文嗎？
She took full advantage of her stay in London to improve her English.	她充分利用她住在倫敦的優勢，提高英語。
Would you like to come along?	你想一起去嗎？
They are very big.	他們非常大。
The man is eating bread.	這個男人在吃麪包。
Did you bring an umbrella with you?	你有帶雨傘嗎？
Look back!	回頭看！
I will let you know in advance.	我會讓你提前知道。
Even with all his money, he's unhappy.	儘管他有那麼多錢，他並不快樂。
I'm on my way to the meeting right now.	我在前往會議的路上。
Germany was once allied with Italy.	德國曾是意大利的同盟國。
She took care of the poor little bird.	她照顧可憐的小鳥。
I study Korean.	我學韓語。
I am pleased with his work.	對於他的工作我很滿意。
I don't want to go there. He doesn't want to go either.	我不想去那兒，他也不想。
You should know it.	你應該知道的。
She has a strong wish to work as an interpreter.	她非常想當口譯。
The train leaves at 6 o'clock.	火車6點出發。
A truck ran over our dog.	一輛卡車輾過一隻狗。
Who wrote these stories?	誰寫了這些故事？
I think Tom is awake.	我想Tom已經醒了。
It's a good question.	它是一個很好的問題。
I can't believe anyone anymore.	我再也無法相信任何人了。
I heard the children's happy voices.	我聽到孩子們開心的聲音。
We defeated the enemy.	我們戰勝了敵人。
He came back last August.	他去年八月回來的。
Where's the closest pharmacy?	最近的藥房在哪裡?
I agree completely.	我完全同意。
I will not do it again.	下次我不做了。
I think we need a doggy bag.	看來我們得打包了。
I'm going to take a bath.	我打算洗個澡。
I'll be watching you.	我會看著你。
She was amazed to hear the news.	她聽到那個消息後驚呆了。
Edison was not a bright student.	愛迪生不是個優秀的學生。
Do you think it's a sign?	你認爲這是個預兆嗎？
What woke you up?	什麼吵醒你了?
He doesn't know much about Japan.	他不是很瞭解日本。
Paper was invented by the Chinese.	紙是由中國人發明的。
Tom undressed and got into bed.	湯姆脫光睡覺了。
We will go on a picnic if it is fine tomorrow.	如果明天天氣好，那麼我們就去野餐。
He has no eye for women.	他對女人沒有眼光。
I was in London last month.	上個月我在倫敦。
An army marches on its stomach.	胃裏如同千軍萬馬開過。
Nagoya is to the east of Kyoto.	名古屋在京都的東方。
The bus was filled to capacity.	這輛公車客滿了。
He will be back tomorrow.	明天他會回來。
All of the cookies are in the shape of stars.	所有餅乾都是星星的形狀。
She has to take a remedial course in English.	她需要上英語補習班。
It's your book.	它是你的書。
Earthquakes frequently hit Japan.	地震頻繁地襲擊日本。
Quite a few Americans like sushi.	不少的美國人喜歡壽司。
Tom still doesn't know the truth.	湯姆還是不知道真相。
Children really like playing on the beach.	孩子們非常喜歡在海灘上玩耍。
Thousands of people lost their jobs.	數千人失業。
I asked her a difficult question.	我問了她一個難題。
My dictionary is very useful.	我的字典非常有用。
A doctor was called in right away.	醫生立刻被請來了。
Read Lesson 10 from the beginning.	從第十課的開頭讀起。
When did he say he would come?	他說他什麼時候會來？
God helps those who help themselves.	自助者天助。
In a few minutes we'll be landing at New Tokyo International Airport.	我們將於幾分鐘內降落在新東京國際機場。
I've always fed my dogs in the early evening.	每個傍晚我都會餵我的狗狗們。
It took me three hours to do my homework.	我花了3小時做作業。
She picked up one of the glass vases.	她拿了其中一個玻璃花瓶。
That car is really expensive.	那輛汽車真的很貴。
Hurry home.	趕快回家。
They aren't afraid of death.	他們不怕死。
Please tell us what to do next.	請告訴我們下一步要做什麼。
Can he speak English?	他會講英語嗎？
I'm listening to the radio.	我在聽收音機。
He has visited France three times.	他訪問過法國三次。
Not everyone who lives here is rich.	並不是每個住在這裡的人都是富有的。
Where will you go for the vacation?	你要去哪裡度假?
"Have you seen my cell phone?" "It's on the table."	"你有看到我的手機嗎?" "它在桌子上。"
You can stay here till the snow stops.	你可以在這裡等到雪停。
I am going to my room, where I can study.	我要回房間了，在那兒我可以學習。
She is going to wash the bike this afternoon.	她下午會洗自行車。
He was brought up in Australia.	他在澳大利亞長大。
Deal us the cards.	發牌給我們。
They must be waiting for you.	他們一定在等你。
I want to reserve a room.	我想預定一個房間。
I've had a good sleep.	我睡得很好。
I don't care what they say.	我不在乎他們說什麼。
He took it literally.	他按照字面上的意思。
You should follow the doctor's advice.	你應該遵照醫生的忠告。
This song makes me think of when I was young.	這首歌使我想起了我年輕的時候。
I was caught in a shower and got drenched to the skin.	我遇上了陣雨被淋得全身濕透。
Here is a pan without handles.	這是個沒有柄的平鍋。
What you said about Tom isn't true.	你說的關於湯姆的話不是真的。
I'd like to speak with you in private.	我想跟你私下說話。
Close your eyes.	閉上你的眼睛。
Leaves begin to fall in October.	樹葉在十月開始掉落下來。
I'm just playing the devil's advocate.	我在給魔鬼當辯護士。
What do you think I should wear on my date tomorrow?	你覺得我明天約會穿什麼好呢？
He likes to travel alone.	他喜歡獨自旅行。
The conference ended at five.	會議在五點鐘結束。
I've been wanting to see that movie for a long time.	我想看那電影想好久了。
I've heard you've been sick.	我聽說你病了。
Could you exchange rooms with me?	可以跟我交換房間嗎?
I'm going out for a while.	我出去一會兒。
Who will take care of the dog while we are away?	當我們離開的時候，誰來照顧狗？
You have plenty of time.	你有足夠的時間。
We've forgiven you.	我們已經原諒你了。
I will show you the picture.	我會給你看圖片。
This is my page on Facebook.	這是我的Facebook頁面。
I had a telephone call from her.	我有一通來自她的電話。
What does he want to do?	他到底想幹嘛？
She can hardly speak Japanese.	她幾乎不會說日語。
My uncles come to see me from time to time.	我的叔叔們（舅舅們）有時會來探望我。
I don't care if it's a bit cold.	稍微冷點兒不要緊。
Take me home.	帶我回家。
How much is it?	多少錢?
I cut myself shaving this morning.	我今天早上刮鬍子的時候把自己弄傷了。
I really don't need any help.	我真的不需要幫助。
When I was a child, I spent most of my time indoors reading.	當我是個孩子的時候，我會把大部分時間都用於室內閱讀。
Our native language is Japanese.	我們的母語是日語。
I heard it on the radio.	我從收音機聽到它。
I gave my brother a dictionary.	我給了我弟弟一本字典。
I didn't mean to keep it secret.	我不是有意要保密的。
We helped them as well.	我們也幫助他們。
That was years ago.	那是好幾年前。
There is a hole in your sock.	你的襪子上有個洞。
Would you mind my moving your car?	你介意我移動你的車嗎？
I'll call you around five o'clock.	我會在5點左右打電話給你。
Can you really swim?	你真的會游泳嗎？
I'll have to think about it.	我將考慮考慮。
Please forgive me for being late.	請原諒我遲到。
May I see your claim tags?	我可以看看你的行李條嗎？
I felt a drop of rain on my head.	我感覺有滴雨落在頭上。
I'll be sixteen in September.	我九月份就十六歲了。
I was worried about his health.	我擔心他的健康。
He is giving his whole attention to that.	他全神貫注。
A true gentleman never betrays his friends.	一個真正的紳士不會出賣他的朋友。
My mother made me a Christmas cake.	母親做了一個聖誕蛋糕給我。
She was more beautiful than all the others.	她比其他人都漂亮。
I love sports.	我喜歡運動。
It's already time to go home.	已經是時候回去了。
I couldn't find it anywhere.	我在任何地方都沒能找到。
Don't put books on the table.	不要把書放在那張桌子上。
He's very good at playing guitar.	他很擅長彈吉他。
He hopes to go abroad.	他希望到國外去。
Tom doesn't even know my name.	湯姆甚至不知道我的名字。
This is a beautiful flower.	這是一朵美麗的花。
I don't have the strength to keep trying.	我沒力氣繼續嘗試了。
I'll be back by six o'clock.	我將6點回來。
Your hair is pretty.	你的頭髮很漂亮。
Would you like to eat with us?	你想和我們一起吃嗎？
She hung the calendar on the wall.	她把日曆掛在牆上了。
I have ten pens.	我有十支筆。
Maternal love is greater than anything else.	母愛比任何別的東西都偉大。
Their baby is able to walk already.	他們的小嬰孩已經會走路了。
English is a very important language in today's world.	英語是當今世界上一種非常重要的語言。
It would be crazy to do that again.	再來一次就真是發瘋了。
I have to take a test tomorrow.	明天我必須參加考試。
Where do you work now?	你現在在哪裏工作？
Let me die.	讓我去死。
I dove into the river.	我跳進了河裏。
I don't like you.	我不喜歡你。
I didn't want to get up early.	我不想很早起牀。
Is the post office still closed?	郵局還關着門嗎？
Hang on!	等一下！
He devoted the last years of his life to writing his autobiography.	他晚年致力於寫自傳。
It began to snow.	開始下雪了。
You're the best man for the job.	你是做這份工作最好的人選。
What did you have to eat?	你必須吃什麼?
All sorts of people live in Tokyo.	各式各樣的人住在東京。
She gave away all her dolls.	她把她所有的娃娃送給了別人。
I fell in love with her.	我愛上了她。
Have you seen this man?	您見過這個人嗎？
A boy of seventeen is often as tall as his father.	十七歲的男孩常常長得和他父親一樣高。
Did you have a good time on your trip to London?	你在倫敦玩得開心嗎？
I'm staying at the Sheraton Hotel.	我住在喜來登酒店。
He leaves for school at seven.	他七點鐘去學校。
He threw a stone into the pond.	他扔一塊石頭到池塘裡。
I don't feel like eating anything.	我不想吃任何東西。
Fools rush in where angels fear to tread.	天使畏懼處, 愚人敢闖入。
Doing the laundry is my job.	洗衣服是我的工作。
He died recently.	他最近去世了。
We had a history quiz this morning.	我們今天早上有歷史小考。
I've got everything that you want.	我已經得到了一切你想要的東西。
This novel is boring.	這本小說很無聊。
I got it for next to nothing.	我簡直不用花錢就買到了。
He has long hair.	他有長頭髮。
She was sick in bed yesterday.	她昨天臥病在牀。
Tom did the best he could, but he wasn't able to get a higher grade than Mary.	湯姆盡了全力，但他還是不能獲得比瑪麗更高的等級。
Your dress is very nice.	你的穿著非常好。
I just wanted to check my email.	我只想查一下我的電子郵件。
Tom and I see each other every day at school.	湯姆和我每天都在學校見面。
Tom asked Mary to help.	湯姆向瑪麗求助。
Were you expecting to win?	你打算贏嗎？
Don't let him play with your phone.	別讓他玩你的手機。
My aunt gave me an album.	我姑姑給了我一本集郵冊。
Tom picked up a pencil.	湯姆拿起鉛筆。
I miss you very much.	我非常想你。
He came back from America.	他從美國回來了。
Why were you late?	你爲什麼遲到？
Her idea is better than yours.	她的想法比你的好。
Wires are used to convey electricity.	電線被用來運送電力。
It's okay to take it easy sometimes.	有時可以放輕鬆一下。
